1,Women's Pennant B,26977200,Mentone Grammar Playing Fields,MNT,Mentone Hockey Club,Footscray Hockey Club,2,0,Home Win,14,13,
1,Men's Metro A,26977290,Mentone Grammar Playing Fields,MNT,Mentone Hockey Club,Essendon Hockey,8,0,Home Win,14,13,
1,Men's Metro B South,26977380,Mentone Grammar Playing Fields,MNT,Mentone Hockey Club,Mornington Peninsula Hockey Club,0,1,Away Win,15,11,
1,Women's Metro A,26977470,Mentone Grammar Playing Fields,MNT,Mentone Hockey Club,OHA Hockey Club,1,1,Draw,13,13,
1,Men's Pennant A,26977200,Melbourne High School,MHS,MCC Hockey Section,Southern United Hockey Club,3,1,Home Win,15,13,
1,Men's Pennant B,26977470,Melbourne High School,MHS,MCC Hockey Section,KBH Brumbies Hockey Club,3,1,Home Win,15,14,
1,Men's Pennant D,26977380,Melbourne High School,MHS,MCC Hockey Section,Southern United Hockey Club,2,2,Draw,13,15,
1,Women's Pennant B,26977110,Melbourne High School,MHS,MCC Hockey Section,Waverley Hockey Club,3,3,Draw,14,14,
1,Women's Pennant C,26977020,Melbourne High School,MHS,MCC Hockey Section,Yarra Valley Hockey Club,0,2,Away Win,13,13,
1,Men's Pennant B,26977290,Altona Hockey Club,ALT,Altona Hockey Club,Camberwell Hockey Club,0,4,Away Win,13,15,
1,Men's Pennant E,26977380,Altona Hockey Club,ALT,Altona Hockey Club,Essendon Hockey,0,5,Away Win,12,15,
1,Women's Pennant C,26977200,Altona Hockey Club,ALT,Altona Hockey Club,Melbourne University Hockey Club,0,2,Away Win,14,14,
1,GAME Clothing Women's Premier League,26977290,Albert Park,APK,Powerhouse & St Kilda Hockey Club,Toorak East Malvern Hockey Club,0,2,Away Win,14,14,
1,GAME Clothing Men's Premier League,26977200,Albert Park,APK,Powerhouse & St Kilda Hockey Club,Toorak East Malvern Hockey Club,2,0,Home Win,15,15,
1,GAME Clothing Women's Premier League Reserves,26977380,Albert Park,APK,Powerhouse & St Kilda Hockey Club,Toorak East Malvern Hockey Club,3,6,Away Win,14,14,
1,GAME Clothing Men's Premier League Reserves,26977110,Albert Park,APK,Powerhouse & St Kilda Hockey Club,Toorak East Malvern Hockey Club,0,10,Away Win,15,15,
1,Men's Vic League 2,26977200,Berwick,BER,Casey Hockey Club,Melbourne Razorbacks Hockey Club,6,1,Home Win,15,14,
1,Men's Vic League 2 Reserves,26977110,Berwick,BER,Casey Hockey Club,Melbourne Razorbacks Hockey Club,7,1,Home Win,14,13,
1,Men's Metro B South,26977290,Berwick,BER,Casey Hockey Club,Greater Dandenong Warriors Hockey Club,3,3,Draw,14,12,
1,Men's Metro C,26977380,Berwick,BER,Casey Hockey Club,Eastern Christian Hockey Organisation (ECHO),1,1,Draw,14,10,
1,Men's Pennant G,26977200,Brunswick Secondary College,BRU,Brunswick Hockey Club,Hume Hockey Club,0,5,Away Win,14,13,
1,Women's Pennant C,26977110,Brunswick Secondary College,BRU,Brunswick Hockey Club,Southern United Hockey Club,3,1,Home Win,14,12,
