Round 1,GAME Clothing Women's Premier League Reserves - 2023,15/04/2023,Geelong Stead Park,GEL1,12:30,Hockey Geelong Sharks,Essendon Hockey,
Round 1,GAME Clothing Women's Premier League - 2023,15/04/2023,Geelong Stead Park,GEL1,14:00,Hockey Geelong Sharks,Essendon Hockey,
Round 1,GAME Clothing Men's Premier League - 2023,15/04/2023,Geelong Stead Park,GEL1,15:30,Hockey Geelong Sharks,Essendon Hockey,
Round 1,GAME Clothing Men's Premier League Reserves - 2023,15/04/2023,Geelong Stead Park,GEL1,17:00,Hockey Geelong Sharks,Essendon Hockey,
Round 1,Women's Pennant E South East - 2023,15/04/2023,Haileybury College,HAL,14:00,OHA Hockey Club,Hawthorn Hockey Club,
Round 1,Men's Pennant B - 2023,15/04/2023,Hawthorn Malvern Hockey Centre,H-1,11:00,Toorak East Malvern Hockey Club,Camberwell Hockey Club,
Round 1,Men's Pennant A - 2023,15/04/2023,Hawthorn Malvern Hockey Centre,H-1,12:30,Toorak East Malvern Hockey Club,Camberwell Hockey Club,
Round 1,Women's Pennant A - 2023,15/04/2023,Hawthorn Malvern Hockey Centre,H-1,14:00,Toorak East Malvern Hockey Club,Camberwell Hockey Club,
Round 1,Women's Pennant B - 2023,15/04/2023,Hawthorn Malvern Hockey Centre,H-1,15:30,Toorak East Malvern Hockey Club,Camberwell Hockey Club,
Round 1,Men's Pennant C - 2023,15/04/2023,Hawthorn Malvern Hockey Centre,H-1,17:00,Toorak East Malvern Hockey Club,Hockey Geelong Sharks,
Round 1,Men's Pennant E South East - 2023,15/04/2023,Hawthorn Malvern Hockey Centre,H-2,11:00,Toorak East Malvern Hockey Club,Greater Dandenong Warriors Hockey Club,
Round 1,Men's Metro 2 East - 2023,15/04/2023,Hawthorn Malvern Hockey Centre,H-2,12:30,Toorak East Malvern Hockey Club,Croydon Ranges Hockey Club,
Round 1,Women's Pennant C - 2023,15/04/2023,Hawthorn Malvern Hockey Centre,H-2,14:00,Toorak East Malvern Hockey Club,Powerhouse & St Kilda Hockey Club,
Round 1,Women's Pennant E South East - 2023,15/04/2023,Hawthorn Malvern Hockey Centre,H-2,15:30,Toorak East Malvern Hockey Club,Croydon Ranges Hockey Club,
Round 1,Women's Metro 1 East - 2023,15/04/2023,Hawthorn Malvern Hockey Centre,H-2,17:00,Toorak East Malvern Hockey Club,Waverley Hockey Club,
Round 1,GAME Clothing Women's Premier League Reserves - 2023,15/04/2023,Hedley Hull Field,HHF,12:30,Waverley Hockey Club,Melbourne University Hockey Club,
Round 1,GAME Clothing Women's Premier League - 2023,15/04/2023,Hedley Hull Field,HHF,14:00,Waverley Hockey Club,Melbourne University Hockey Club,
Round 1,GAME Clothing Men's Premier League - 2023,15/04/2023,Hedley Hull Field,HHF,15:30,Waverley Hockey Club,Melbourne University Hockey Club,
Round 1,GAME Clothing Men's Premier League Reserves - 2023,15/04/2023,Hedley Hull Field,HHF,17:00,Waverley Hockey Club,Melbourne University Hockey Club,
Round 1,Men's Vic League 2 Reserves - 2023,15/04/2023,Hume Hockey Centre,HUM,12:30,Craigieburn Falcons Hockey Club,La Trobe University Hockey Club,
Round 1,Men's Vic League 2 - 2023,15/04/2023,Hume Hockey Centre,HUM,14:00,Craigieburn Falcons Hockey Club,La Trobe University Hockey Club,
Round 1,Men's Metro 2 East - 2023,15/04/2023,Koonung Secondary College,KNG,12:30,Eastern Christian Hockey Organisation (ECHO),Old East Malvern Hockey Club,
Round 1,Women's Vic League 2 - 2023,15/04/2023,Koonung Secondary College,KNG,14:00,Eastern Christian Hockey Organisation (ECHO),Mooroopna Hockey Club,
Round 1,Women's Pennant E South East - 2023,15/04/2023,Koonung Secondary College,KNG,15:30,Eastern Christian Hockey Organisation (ECHO),Doncaster Hockey Club,
Round 1,Women's Pennant D North West - 2023,15/04/2023,La Trobe Hockey Centre,LAT,12:30,La Trobe University Hockey Club,Caroline Springs Hockey Club,
Round 1,Women's Metro 1 North West - 2023,15/04/2023,La Trobe Hockey Centre,LAT,14:00,La Trobe University Hockey Club,Melton Hockey Club,
Round 1,Men's Pennant E North West - 2023,15/04/2023,La Trobe Hockey Centre,LAT,15:30,La Trobe University Hockey Club,Melton Hockey Club,
Round 1,Women's Pennant D East - 2023,15/04/2023,Melbourne High School,MHS,11:00,MCC Hockey Section,Knox Hockey Club,
Round 1,GAME Clothing Women's Premier League Reserves - 2023,15/04/2023,Melbourne High School,MHS,12:30,MCC Hockey Section,Footscray Hockey Club,
Round 1,GAME Clothing Women's Premier League - 2023,15/04/2023,Melbourne High School,MHS,14:00,MCC Hockey Section,Footscray Hockey Club,
Round 1,GAME Clothing Men's Premier League - 2023,15/04/2023,Melbourne High School,MHS,15:30,MCC Hockey Section,Footscray Hockey Club,
Round 1,GAME Clothing Men's Premier League Reserves - 2023,15/04/2023,Melbourne High School,MHS,17:00,MCC Hockey Section,Footscray Hockey Club,
Round 1,Men's Vic League 3 - 2023,15/04/2023,Melbourne Sports Centres Parkville,P-1,12:30,RMIT Hockey Club,Melbourne Razorbacks Hockey Club,
Round 1,Men's Vic League 3 - 2023,15/04/2023,Melbourne Sports Centres Parkville,P-1,14:00,Latrobe Valley Hockey Association,Melton Hockey Club,
Round 1,Men's Vic League 3 - 2023,15/04/2023,Melbourne Sports Centres Parkville,P-1,15:30,Aussie Punjabi Sports Club INC,Bayside Cougars Hockey Club,
Round 1,Men's Metro 2 North West - 2023,15/04/2023,Melton Hockey Ground,MEL,14:00,Melton Hockey Club,Essendon Hockey,
Round 1,Women's Metro 1 South - 2023,15/04/2023,Mentone Grammar Playing Fields,MNT,11:00,Mentone Hockey Club,Casey Hockey Club,
Round 1,Men's Vic League 2 Reserves - 2023,15/04/2023,Mentone Grammar Playing Fields,MNT,12:30,St Bede's Hockey Club,WestVic Hockey,
Round 1,Men's Vic League 2 - 2023,15/04/2023,Mentone Grammar Playing Fields,MNT,14:00,St Bede's Hockey Club,WestVic Hockey,
Round 1,Men's Metro 2 South - 2023,15/04/2023,Mentone Grammar Playing Fields,MNT,15:30,St. Bede's Hockey Club,Frankston Hockey Club 1,
Round 1,Women's Pennant D East - 2023,15/04/2023,Mentone Grammar Playing Fields,MNT,17:00,St. Bede's Hockey Club,Monash University Hockey Club,
Round 1,Women's Vic League 1 Reserves - 2023,15/04/2023,Monash University,MON,12:30,Monash University Hockey Club,Knox Hockey Club,
Round 1,Women's Vic League 1 - 2023,15/04/2023,Monash University,MON,14:00,Monash University Hockey Club,Knox Hockey Club,
Round 1,Men's Vic League 1 - 2023,15/04/2023,Monash University,MON,15:30,Monash University Hockey Club,Eastern Christian Hockey Organisation (ECHO),
Round 1,Men's Vic League 1 Reserves - 2023,15/04/2023,Monash University,MON,17:00,Monash University Hockey Club,Eastern Christian Hockey Organisation (ECHO),
Round 1,Women's Vic League 1 Reserves - 2023,15/04/2023,PEGS Sporting Fields,PSF1,12:30,PEGS Hockey Club,North West Lightning,
Round 1,Women's Vic League 1 - 2023,15/04/2023,PEGS Sporting Fields,PSF1,14:00,PEGS Hockey Club,North West Lightning,
Round 1,Men's Vic League 1 - 2023,15/04/2023,PEGS Sporting Fields,PSF1,15:30,PEGS Hockey Club,North West Lightning,
Round 1,Men's Vic League 1 Reserves - 2023,15/04/2023,PEGS Sporting Fields,PSF1,17:00,PEGS Hockey Club,North West Lightning,
Round 1,Men's Pennant D North West - 2023,15/04/2023,PEGS Sporting Fields,PSF2,12:30,PEGS Hockey Club,Yarra Valley Hockey Club,
Round 1,Men's Pennant C - 2023,15/04/2023,PEGS Sporting Fields,PSF2,14:00,PEGS Hockey Club,MCC Hockey Section,
Round 1,Men's Pennant E North West - 2023,15/04/2023,PEGS Sporting Fields,PSF2,15:30,PEGS Hockey Club,Werribee Hockey Club,
Round 1,Men's Vic League 2 Reserves - 2023,15/04/2023,Peninsula Hockey Centre,PHC,12:30,Frankston Hockey Club,Powerhouse & St Kilda Hockey Club,
Round 1,Men's Vic League 2 - 2023,15/04/2023,Peninsula Hockey Centre,PHC,14:00,Frankston Hockey Club,Powerhouse & St Kilda Hockey Club,
Round 1,Women's Vic League 2 - 2023,15/04/2023,Peninsula Hockey Centre,PHC,15:30,Frankston Hockey Club,Melton Hockey Club,
Round 1,Women's Metro 1 South - 2023,15/04/2023,Peninsula Hockey Centre,PHC,17:00,Frankston Hockey Club,Monash University Hockey Club,
Round 1,Men's Metro 2 North West - 2023,15/04/2023,RMIT Bundoora,BUN,14:30,Melbourne Sikhs United Hockey Club,RMIT Hockey Club,
Round 1,Women's Metro 1 South - 2023,15/04/2023,Southern United Hockey Club,MBN,11:00,Southern United Hockey Club,Mornington Peninsula Hockey Club,
Round 1,GAME Clothing Women's Premier League Reserves - 2023,15/04/2023,Southern United Hockey Club,MBN,12:30,Southern United Hockey Club,KBH Brumbies Hockey Club,
Round 1,GAME Clothing Women's Premier League - 2023,15/04/2023,Southern United Hockey Club,MBN,14:00,Southern United Hockey Club,KBH Brumbies Hockey Club,
Round 1,GAME Clothing Men's Premier League - 2023,15/04/2023,Southern United Hockey Club,MBN,15:30,Southern United Hockey Club,KBH Brumbies Hockey Club,
Round 1,GAME Clothing Men's Premier League Reserves - 2023,15/04/2023,Southern United Hockey Club,MBN,17:00,Southern United Hockey Club,KBH Brumbies Hockey Club,
Round 1,Men's Pennant E North West - 2023,15/04/2023,St Bernards College,STB,12:30,St. Bernard's Hockey Club,RMIT Hockey Club,
Round 1,Women's Pennant D North West - 2023,16/04/2023,Altona Hockey Club,ALT,12:30,Altona Hockey Club,Craigieburn Falcons Hockey Club,
Round 1,Men's Pennant D South East - 2023,16/04/2023,Brighton Secondary College,BTN,12:30,Bayside Cougars Hockey Club,Mentone Hockey Club,
Round 1,Women's Vic League 2 - 2023,16/04/2023,Brighton Secondary College,BTN,14:00,Bayside Cougars Hockey Club,Gippsland Strikers,
Round 1,Men's Vic League 1 Reserves - 2023,16/04/2023,Brunswick Secondary College,BRU,12:30,Brunswick Hockey Club,Casey Hockey Club,
Round 1,Men's Vic League 1 - 2023,16/04/2023,Brunswick Secondary College,BRU,14:00,Brunswick Hockey Club,Casey Hockey Club,
Round 1,Women's Vic League 1 - 2023,16/04/2023,Brunswick Secondary College,BRU,15:30,Brunswick Hockey Club,Casey Hockey Club,
Round 1,Women's Vic League 1 Reserves - 2023,16/04/2023,Brunswick Secondary College,BRU,17:00,Brunswick Hockey Club,Casey Hockey Club,
Round 1,Women's Pennant E South East - 2023,16/04/2023,Camberwell Hockey Club,CAM,11:30,Camberwell Hockey Club,Greater Dandenong Warriors Hockey Club,
Round 1,Women's Pennant C - 2023,16/04/2023,Camberwell Hockey Club,CAM,13:00,Camberwell Hockey Club,Greensborough Hockey Club,
Round 1,Men's Metro 2 East - 2023,16/04/2023,Camberwell Hockey Club,CAM,14:30,Camberwell Hockey Club,Greensborough Hockey Club,
Round 1,Men's Pennant C - 2023,16/04/2023,Camberwell Hockey Club,CAM,16:00,Camberwell Hockey Club,Melbourne University Hockey Club,
Round 1,Women's Pennant C - 2023,16/04/2023,Cyril Cummins Reserve,YAR,14:00,Yarra Valley Hockey Club,Southern United Hockey Club,
Round 1,Men's Pennant A - 2023,16/04/2023,Doncaster Hockey Centre,DON,12:30,Doncaster Hockey Club,Hawthorn Hockey Club,
Round 1,Men's Pennant C - 2023,16/04/2023,Doncaster Hockey Centre,DON,14:00,Doncaster Hockey Club,Waverley Hockey Club,
Round 1,Men's Pennant E South East - 2023,16/04/2023,Doncaster Hockey Centre,DON,15:30,Doncaster Hockey Club,Croydon Ranges Hockey Club,
