Round 1,Women's Pennant C - 2023,16/04/2023,Cyril Cummins Reserve,YAR,14:00,Yarra Valley Hockey Club,Southern United Hockey Club,0,5,Away Win,12,12
Round 1,Men's Vic League 2 - 2023,15/04/2023,Peninsula Hockey Centre,PHC,14:00,Frankston Hockey Club,Powerhouse & St Kilda Hockey Club,4,0,Home Win,15,13
Round 1,Men's Vic League 2 Reserves - 2023,15/04/2023,Peninsula Hockey Centre,PHC,12:30,Frankston Hockey Club,Powerhouse & St Kilda Hockey Club,4,1,Home Win,14,9
Round 1,Women's Vic League 2 - 2023,15/04/2023,Peninsula Hockey Centre,PHC,15:30,Frankston Hockey Club,Melton Hockey Club,1,0,Home Win,13,11
Round 1,Men's Metro 2 South - 2023,16/04/2023,Peninsula Hockey Centre,PHC,14:00,Mornington/Cerberus,Greater Dandenong Warriors Hockey Club,0,7,Away Win,13,11
Round 1,Women's Metro 1 South - 2023,15/04/2023,Peninsula Hockey Centre,PHC,17:00,Frankston Hockey Club,Monash University Hockey Club,0,0,Draw,13,12
Round 1,Men's Metro 1 - 2023,16/04/2023,Footscray Hockey Club,ASF,14:00,Footscray Hockey Club,Old Xaverians Hockey Club,2,0,Home Win,12,15
Round 1,Men's Metro 2 North West - 2023,15/04/2023,Footscray Hockey Club,ASF,17:00,Footscray Hockey Club,Caroline Springs Blue,2,0,Home Win,12,12
Round 1,Men's Pennant A - 2023,15/04/2023,Footscray Hockey Club,ASF,12:30,Footscray Hockey Club,MCC Hockey Section,1,8,Away Win,13,16
Round 1,Men's Pennant B - 2023,15/04/2023,Footscray Hockey Club,ASF,15:30,Footscray Hockey Club,MCC Hockey Section,1,5,Away Win,14,15
Round 1,Women's Metro 1 North West - 2023,15/04/2023,Footscray Hockey Club,BSF,14:00,Footscray Hockey Club,Sunshine Hockey Club,1,2,Away Win,12,8
Round 1,Women's Pennant A - 2023,15/04/2023,Footscray Hockey Club,BSF,15:30,Footscray Hockey Club,Doncaster Hockey Club,5,0,Home Win,14,13
Round 1,Women's Pennant B - 2023,15/04/2023,Footscray Hockey Club,BSF,17:00,Footscray Hockey Club,MCC Hockey Section,6,2,Home Win,14,12
Round 1,Women's Pennant E North West - 2023,15/04/2023,Footscray Hockey Club,BSF,12:30,Footscray Hockey Club,Brunswick Hockey Club,2,0,Home Win,13,14
Round 1,Women's Vic League 2 - 2023,15/04/2023,Churchill Hockey Ground,CHU,12:30,Latrobe Valley Hockey Association,RMIT Hockey Club,1,3,Away Win,13,14
Round 1,GAME Clothing Men's Premier League - 2023,15/04/2023,Hedley Hull Field,HHF,15:30,Waverley Hockey Club,Melbourne University Hockey Club,4,0,Home Win,15,15
Round 1,GAME Clothing Women's Premier League - 2023,15/04/2023,Hedley Hull Field,HHF,14:00,Waverley Hockey Club,Melbourne University Hockey Club,4,0,Home Win,14,15
Round 1,GAME Clothing Men's Premier League Reserves - 2023,15/04/2023,Hedley Hull Field,HHF,17:00,Waverley Hockey Club,Melbourne University Hockey Club,3,1,Home Win,15,14
