6,GAME Clothing Men's Premier League,27027690,Footscray Hockey Club,F-1,Footscray Hockey Club,Powerhouse & St Kilda Hockey Club
6,GAME Clothing Men's Premier League,27027600,Hedley Hull Field,HHF,Waverley Hockey Club,Altona Hockey Club
6,GAME Clothing Men's Premier League,27029130,Hawthorn Malvern Hockey Centre,H-1,Hawthorn Hockey Club,Camberwell Hockey Club
7,GAME Clothing Men's Premier League,27037680,Hedley Hull Field,HHF,Waverley Hockey Club,KBH Brumbies Hockey Club
7,GAME Clothing Men's Premier League,27037770,Altona Hockey Club,ALT,Altona Hockey Club,Toorak East Malvern Hockey Club
7,GAME Clothing Men's Premier League,27037770,Albert Park,APK,Powerhouse & St Kilda Hockey Club,Brunswick Hockey Club
7,GAME Clothing Men's Premier League,27037680,Camberwell Hockey Club,CAM,Camberwell Hockey Club,MCC Hockey Section
7,GAME Clothing Men's Premier League,27037770,Southern United Hockey Club,MBN,Southern United Hockey Club,Doncaster Hockey Club
7,GAME Clothing Men's Premier League,27037680,Hawthorn Malvern Hockey Centre,H-1,Hawthorn Hockey Club,Essendon Hockey
7,GAME Clothing Men's Premier League,27039090,Melbourne Sports Centres Parkville,P-1,Melbourne University Hockey Club,Greensborough Hockey Club
7,GAME Clothing Men's Premier League,27039120,Footscray Hockey Club,F-1,Footscray Hockey Club,Yarra Valley Hockey Club
8,GAME Clothing Men's Premier League,27047850,Essendon Hockey Centre,ESS1,Essendon Hockey,Waverley Hockey Club
8,GAME Clothing Men's Premier League,27047850,Elgar Park,ELG,KBH Brumbies Hockey Club,Hawthorn Hockey Club
8,GAME Clothing Men's Premier League,27047850,Yarra Valley Hockey Centre,YAR,Yarra Valley Hockey Club,Melbourne University Hockey Club
8,GAME Clothing Men's Premier League,27047850,Melbourne High School,MHS,MCC Hockey Section,Altona Hockey Club
8,GAME Clothing Men's Premier League,27047850,Brunswick Secondary College,BRU,Brunswick Hockey Club,Southern United Hockey Club
8,GAME Clothing Men's Premier League,27047850,Hawthorn Malvern Hockey Centre,H-1,Toorak East Malvern Hockey Club,Camberwell Hockey Club
8,GAME Clothing Men's Premier League,27049200,Greensborough Hockey Centre,GRN1,Greensborough Hockey Club,Footscray Hockey Club
8,GAME Clothing Men's Premier League,27049200,Doncaster Hockey Centre,DON,Doncaster Hockey Club,Powerhouse & St Kilda Hockey Club
19,GAME Clothing Men's Premier League,27052470,Melbourne Sports Centres Parkville,P-1,Melbourne University Hockey Club,Brunswick Hockey Club
19,GAME Clothing Men's Premier League,27052470,Elgar Park,ELG,KBH Brumbies Hockey Club,Essendon Hockey
19,GAME Clothing Men's Premier League,27052470,Greensborough Hockey Centre,GRN1,Greensborough Hockey Club,Yarra Valley Hockey Club
19,GAME Clothing Men's Premier League,27056790,Hedley Hull Field,HHF,Waverley Hockey Club,MCC Hockey Section
19,GAME Clothing Men's Premier League,27052470,Albert Park,APK,Powerhouse & St Kilda Hockey Club,Southern United Hockey Club
19,GAME Clothing Men's Premier League,27052470,Camberwell Hockey Club,CAM,Camberwell Hockey Club,Altona Hockey Club
19,GAME Clothing Men's Premier League,27052470,Doncaster Hockey Centre,DON,Doncaster Hockey Club,Footscray Hockey Club
19,GAME Clothing Men's Premier League,27055260,Hawthorn Malvern Hockey Centre,H-1,Toorak East Malvern Hockey Club,Hawthorn Hockey Club
9,GAME Clothing Men's Premier League,27067980,Melbourne Sports Centres Parkville,P-1,Melbourne University Hockey Club,MCC Hockey Section
9,GAME Clothing Men's Premier League,27068010,Footscray Hockey Club,F-1,Footscray Hockey Club,Toorak East Malvern Hockey Club
9,GAME Clothing Men's Premier League,27067920,Hedley Hull Field,HHF,Waverley Hockey Club,Doncaster Hockey Club
9,GAME Clothing Men's Premier League,27067920,Altona Hockey Club,ALT,Altona Hockey Club,Greensborough Hockey Club
9,GAME Clothing Men's Premier League,27067920,Albert Park,APK,Powerhouse & St Kilda Hockey Club,KBH Brumbies Hockey Club
9,GAME Clothing Men's Premier League,27068010,Camberwell Hockey Club,CAM,Camberwell Hockey Club,Yarra Valley Hockey Club
