1,Women's Pennant B,28025610,Hawthorn Malvern Hockey Centre,H-1,Toorak East Malvern Hockey Club,Camberwell Hockey Club,
1,Men's Pennant C,28025700,Hawthorn Malvern Hockey Centre,H-1,Toorak East Malvern Hockey Club,Hockey Geelong Sharks,
1,Men's Pennant E South East,28025340,Hawthorn Malvern Hockey Centre,H-2,Toorak East Malvern Hockey Club,Greater Dandenong Warriors Hockey Club,
1,Men's Metro 2 East,28025430,Hawthorn Malvern Hockey Centre,H-2,Toorak East Malvern Hockey Club,Croydon Ranges Hockey Club,
1,Women's Pennant C,28025520,Hawthorn Malvern Hockey Centre,H-2,Toorak East Malvern Hockey Club,Powerhouse & St Kilda Hockey Club,
1,Women's Pennant E South East,28025610,Hawthorn Malvern Hockey Centre,H-2,Toorak East Malvern Hockey Club,Croydon Ranges Hockey Club,
1,Women's Metro 1 East,28025700,Hawthorn Malvern Hockey Centre,H-2,Toorak East Malvern Hockey Club,Waverley Hockey Club,
1,GAME Clothing Women's Premier League Reserves,28025430,Hedley Hull Field,HHF,Waverley Hockey Club,Melbourne University Hockey Club,
1,GAME Clothing Women's Premier League,28025520,Hedley Hull Field,HHF,Waverley Hockey Club,Melbourne University Hockey Club,
1,GAME Clothing Men's Premier League,28025610,Hedley Hull Field,HHF,Waverley Hockey Club,Melbourne University Hockey Club,
1,GAME Clothing Men's Premier League Reserves,28025700,Hedley Hull Field,HHF,Waverley Hockey Club,Melbourne University Hockey Club,
1,Men's Vic League 2 Reserves,28025430,Hume Hockey Centre,HUM,Craigieburn Falcons Hockey Club,La Trobe University Hockey Club,
1,Men's Vic League 2,28025520,Hume Hockey Centre,HUM,Craigieburn Falcons Hockey Club,La Trobe University Hockey Club,
1,Men's Metro 2 East,28025430,Koonung Secondary College,KNG,Eastern Christian Hockey Organisation (ECHO),Old East Malvern Hockey Club,
1,Women's Vic League 2,28025520,Koonung Secondary College,KNG,Eastern Christian Hockey Organisation (ECHO),Mooroopna Hockey Club,
1,Women's Pennant E South East,28025610,Koonung Secondary College,KNG,Eastern Christian Hockey Organisation (ECHO),Doncaster Hockey Club,
1,Women's Pennant D North West,28025430,La Trobe Hockey Centre,LAT,La Trobe University Hockey Club,Caroline Springs Hockey Club,
1,Women's Metro 1 North West,28025520,La Trobe Hockey Centre,LAT,La Trobe University Hockey Club,Melton Hockey Club,
1,Men's Pennant E North West,28025610,La Trobe Hockey Centre,LAT,La Trobe University Hockey Club,Melton Hockey Club,
